StudentID,FullName,ProgrammeCode,YearOfStudy,CGPA,ContactNumber
TP182394,Yong Chua,CT101,1,1.03,017-4267215
TP141607,Ming Teh,CT104,1,2.7,019-9765062
TP107465,Haziq binti Musa,CT104,2,3.27,014-4646703
TP130548,Shanti Sharma,CT106,1,2.58,014-9385974
TP109948,Nadia bin Abdullah,CT104,3,2.28,019-1201719
TP178603,Ming Tan,EE105,2,3.11,012-1866576
TP139321,Syafiq bin Ahmad,PM102,1,2.87,016-3074052
TP181114,Harish Chandran,PM102,2,3.47,011-4837363
TP177365,Ahmad binti Yusof,EE103,4,3.87,019-6631499
TP192820,Sanjay Appalasamy,DT103,2,2.79,012-2347631
TP144829,Nur bin Hassan,CT104,2,2.1,012-4410639
TP154806,Aisyah bin Abdullah,DT102,2,2.97,011-2618409
TP109037,Zulkifli bin Ibrahim,CT101,3,3.43,016-2383380
TP178315,Naim bin Ibrahim,CT107,1,2.01,017-3645617
TP115528,Le Chan,BM104,1,2.15,018-3387275
TP180993,Syafiq binti Zainal,CT106,2,3.72,016-1936865
TP113682,Ismail binti Yusof,CT103,3,1.54,018-6113758
TP165029,Naim bin Kamaruddin,CT107,1,2.7,016-1974714
TP112216,Jing Yap,DT102,3,2.77,018-1230151
TP176443,Jun Foo,CT102,1,2.11,016-3814634
TP121933,Ming Chua,CT102,2,3.96,012-8068855
TP198311,Nadia binti Razali,BM104,3,2.08,018-4196999
TP140566,Peng Lee,BM102,3,3.63,016-1944484
TP192850,Li Chua,BM103,1,2.74,011-9461390
TP145894,Syafiq bin Ahmad,CT103,2,2.63,014-7733243
TP117983,Jia Ong,CT101,4,2.02,018-4335341
TP175056,Fang Wong,BM101,3,2.94,018-4060037
TP105211,Siti binti Zainal,CT106,2,2.37,018-2266837
TP127069,Kumar Sharma,EE101,2,2.4,016-2154074
TP137405,Dalila binti Musa,BM103,2,2.06,013-4581541
TP145857,Farid binti Ibrahim,CT107,1,2.22,018-4994858
TP174513,Jing Chong,CT103,4,3.45,017-4442133
TP183792,Nurul binti Ibrahim,EE103,2,3.23,011-3336959
TP175315,Izzati bin Ibrahim,EE101,3,3.73,012-4146592
TP147074,Siti bin Musa,DT103,1,2.71,016-1182169
TP137383,Izzati binti Ismail,BM104,2,2.46,016-2521986
TP124619,Liyana bin Kamaruddin,CT106,1,2.59,017-5137309
TP165022,Hui Chew,EE102,4,2.54,018-1023224
TP112814,Anand Maniam,CT103,4,2.2,011-8449508
TP148551,Haziq binti Yusof,EE101,3,3.16,011-8285614
TP183786,Abdullah bin Kamaruddin,EE104,1,3.36,011-6103459
TP135463,Hafiz binti Musa,BM103,3,2.68,019-4829815
TP186286,Zi Teh,EE105,2,1.61,012-5419495
TP149638,Athirah bin Musa,CT106,1,3.52,011-5947745
TP189196,Jing Ong,EE102,1,3.3,016-2248254
TP103521,Jun Loh,HS101,1,2.49,012-5664057
TP187201,Zulkifli bin Othman,EE103,3,3.92,012-5102917
TP130371,Farhana bin Razali,HS102,1,3.11,014-4567605
TP198442,Hao Leong,CT102,2,2.88,013-8520860
TP192990,Farhana bin Razali,DT101,1,2.53,016-7458007
TP177344,Nadia binti Kamaruddin,EE104,2,2.64,013-4150206
TP195305,Hui Lee,DT103,2,3.72,017-6304730
TP133022,Azman bin Othman,BM104,1,2.92,017-6134874
TP120763,Kavitha Sharma,CT101,2,3.05,013-1730106
TP166744,Jun Lim,EE104,1,2.69,017-3016250
TP154602,Syafiq binti Ibrahim,EE102,4,2.93,014-3370776
TP173281,Peng Yap,CT107,1,3.63,012-9907608
TP129709,Izzati binti Ahmad,BM102,3,3.33,019-8346932
TP105933,Farhana binti Yusof,EE103,2,1.0,012-9041696
TP172253,Aisyah binti Ismail,BM105,3,3.89,014-4198911
TP147685,Nurul bin Razali,CT107,1,2.95,017-2172601
TP147737,Ismail bin Ahmad,CT103,1,2.39,018-4129999
TP139511,Xin Chew,BM105,1,3.73,019-1049112
TP126480,Izzat binti Ahmad,CT101,4,1.68,018-6114764
TP198859,Tian Leong,DT102,2,2.42,012-3868768
TP188356,Li Cheong,CT104,3,3.56,016-8907862
