StudentID,FullName,ProgrammeCode,YearOfStudy,CGPA,ContactNumber
TP180386,Yong Chong,CT101,3,2.02,019-9893850
TP141775,Kumar Vellu,CT101,3,3.96,014-5576167
TP184640,Izzati binti Othman,CT106,2,2.77,019-5301507
TP162631,Muhammad binti Kamaruddin,EE103,1,2.73,017-8526502
TP125264,Azri bin Ibrahim,BM102,1,3.59,012-6766329
TP160365,Xiao Ng,EE105,2,3.73,014-7108245
TP173983,Syazwani bin Abdullah,EE101,1,2.81,018-1484388
TP148584,Ismail binti Yusof,CT107,1,3.2,017-6673178
TP186344,Hafiz binti Ismail,CT106,2,3.2,012-5008055
TP125943,Peng Wong,BM105,2,3.21,011-1523511
TP107661,Amirul bin Ismail,CT104,4,2.79,011-2345229
TP154143,Zulkifli binti Othman,CT105,2,2.31,017-9127728
TP111120,Sanjay Krishnan,DT103,2,2.79,011-5917027
TP186200,Athirah bin Ismail,EE105,1,3.69,019-6931557
TP105974,Naim bin Kamaruddin,EE104,1,2.68,019-9368345
TP122481,Zi Chua,EE105,1,3.52,017-8130701
TP184593,Hui Ng,CT106,1,2.57,016-6322301
TP113405,Li Tan,CT101,2,2.55,016-6796515
TP102053,Yong Loh,EE105,1,1.48,016-1101543
TP154447,Nithya Menon,EE102,4,2.67,018-1910965
TP186986,Faizal binti Yusof,CT102,3,2.6,012-5471746
TP147915,Kumar Selvam,BM103,1,1.89,012-6838734
TP108113,Nabilah binti Ismail,BM101,2,2.58,018-5875455
TP163263,Jing Cheong,CT102,2,2.84,013-6124551
TP146889,Mala Arumugam,PM101,2,2.88,011-4586349
TP121900,Athirah bin Razali,PM101,2,1.27,016-5228381
TP177665,Izzati binti Abdullah,CT105,2,2.51,017-4895221
TP166867,Farah bin Zainal,DT101,1,3.57,012-8418642
TP194648,Azri binti Musa,CT101,3,3.58,012-3525928
TP137496,Peng Ong,CT103,1,1.77,012-4986454
TP140818,Farhana binti Musa,BM103,3,2.07,017-9801815
TP176540,Jun Tan,CT106,1,3.36,013-4652837
TP170952,Liyana binti Ibrahim,BM103,2,2.1,011-8721494
TP195976,Chen Wong,BM105,1,3.7,013-6531618
TP163595,Shanti Menon,CT102,1,3.99,012-5238332
TP101023,Jing Lee,BM103,3,2.85,019-4971976
TP104312,Haziq binti Othman,CT105,2,3.72,018-4756028
TP133396,Jia Yong,EE101,1,3.7,017-5516509
TP117908,Amirul bin Abdullah,EE105,2,3.59,011-2069581
TP170365,Athirah binti Yusof,CT102,3,3.26,014-5077456
TP158044,Farid binti Abdullah,EE101,1,3.22,011-3365656
TP131284,Muhammad binti Abdullah,CT106,2,3.56,012-6258471
TP199755,Ibrahim binti Yusof,BM103,1,1.66,014-1511477
TP164204,Kavitha Selvam,CT101,1,2.4,019-1199209
TP101520,Izzati binti Othman,CT102,2,3.65,018-8650891
TP151523,Haziq binti Yusof,BM101,2,3.74,012-5842953
TP121740,Harish Raju,CT101,2,3.92,019-4256745
TP155085,Muhammad bin Abdullah,CT106,2,1.01,018-5735140
TP175810,Muhammad bin Zainal,BM104,3,2.6,014-1176907
TP160741,Kumar Selvam,CT101,4,2.45,018-8051749
TP194758,Athirah binti Zainal,CT104,4,3.47,016-3910855
TP164393,Hafiz bin Abdullah,CT106,1,3.36,017-9872833
TP196886,Muhammad bin Othman,CT107,1,2.47,011-3519891
TP160742,Haziq binti Yusof,EE104,3,2.6,011-1435254
TP143420,Shanti Vellu,EE101,4,2.85,014-3020727
TP198172,Farhana binti Yusof,BM104,3,2.57,019-3245604
TP178375,Jing Ng,CT107,1,3.48,016-5843655
TP112750,Peng Cheong,CT107,1,1.34,014-6450992
TP145911,Jing Ong,BM102,2,3.07,014-8087736
TP103404,Zainab binti Abdullah,EE105,2,3.3,011-4577197
TP145515,Farhana binti Abdullah,DT101,1,2.02,016-9104561
TP120168,Faizal binti Ahmad,BM102,2,3.46,013-8980142
TP168554,Harish Nadarajan,CT102,2,3.6,013-1831960
TP132756,Ibrahim binti Razali,CT103,1,2.85,019-6478045
TP153983,Hafiz binti Ibrahim,EE102,3,3.8,018-5973765
TP171748,Zainab binti Zainal,EE105,2,2.73,012-5216424
TP186621,Zainab bin Othman,CT107,1,3.65,016-1022103
TP135465,Jia Yap,DT102,3,3.34,016-3914709
TP198424,Hao Teh,EE104,4,2.51,014-4269233
TP113423,Kai Yap,EE102,1,3.17,012-8366370
TP158687,Xiao Goh,BM104,1,1.75,013-4329866
TP141668,Hanis bin Zainal,CT102,3,2.15,017-3954171
TP165961,Sanjay Raju,DT103,3,2.97,014-7114841
TP139669,Amirul bin Ismail,CT102,1,2.59,011-4510288
TP197941,Suresh Chandran,CT105,3,2.75,019-4581842
TP150893,Nur binti Zainal,DT102,2,2.51,016-3862859
TP162223,Zulkifli bin Hassan,EE103,1,2.23,011-9786538
TP181582,Siti binti Ibrahim,BM104,2,3.22,016-6325450
TP189335,Liyana bin Ibrahim,CT101,4,1.68,013-7797815
TP145894,Syafiq bin Ahmad,CT103,2,2.63,014-7733243
TP165697,Amirul bin Abdullah,EE105,2,2.63,017-5199061
TP172385,Izzati binti Ahmad,DT103,2,2.93,018-5248992
TP109625,Nabilah binti Zainal,EE101,2,3.47,011-1685744
TP177594,Jing Chan,EE103,3,1.42,013-6584989
TP172213,Deepa Nair,CT107,1,2.96,016-3505471
TP141895,Le Chan,CT105,1,3.16,016-1451025
TP133891,Ismail binti Ibrahim,CT104,4,3.52,011-2705764
TP190526,Xin Tan,CT103,4,2.53,011-1630579
TP135958,Syafiq binti Ismail,EE101,1,2.93,011-5620729
