StudentID,FullName,ProgrammeCode,YearOfStudy,CGPA,ContactNumber
TP180623,Amirah binti Abdullah,BM104,3,2.15,019-7868820
TP183301,Fang Lee,EE101,2,2.48,014-5410643
TP126463,Nabilah binti Kamaruddin,CT104,4,3.21,019-4629148
TP134145,Shanti Raju,BM101,2,1.4,017-6594234
TP126563,Ramesh Nadarajan,CT102,4,3.05,018-5673426
TP184635,Farid binti Yusof,CT104,1,2.79,013-4714389
TP103941,Amirah bin Musa,CT101,2,3.56,017-6761464
TP129189,Muhammad binti Zainal,BM105,3,3.89,011-8579247
TP112167,Le Leong,EE102,1,2.65,017-7342351
TP172844,Shanti Sharma,CT105,2,2.64,014-8563761
TP143019,Tian Yong,EE101,1,3.89,017-6458188
TP165423,Nur binti Abdullah,CT107,1,2.22,019-1654130
TP110940,Izzat binti Abdullah,EE103,2,3.43,014-6180692
TP194031,Haziq bin Othman,BM103,1,1.28,016-4278491
TP186304,Yu Foo,CT107,1,2.14,018-3461682
TP153048,Muthu Govindasamy,DT103,2,2.25,019-7613986
TP113729,Syafiq bin Hassan,HS102,1,1.85,016-2821910
TP118616,Ganesh Selvam,CT102,4,2.39,014-9963317
TP113119,Fang Chew,EE102,1,2.95,016-4042447
TP153310,Nur bin Ibrahim,BM103,2,3.44,012-2382220
TP135248,Dalila binti Ahmad,CT102,4,1.94,016-4443422
TP141656,Raj Murugasen,CT104,2,3.59,017-7065227
TP167161,Rizal bin Ahmad,EE102,2,2.74,017-9899727
TP120123,Ling Chin,PM102,2,2.7,014-6819148
TP151373,Sanjay Maniam,CT105,2,2.9,016-5440195
TP106199,Amirul binti Kamaruddin,EE104,1,2.54,016-3279971
TP169428,Siti binti Yusof,EE104,1,3.01,011-1219338
TP125774,Nadia binti Razali,CT104,2,2.47,017-4748986
TP199573,Siti bin Hassan,CT102,4,3.35,017-1362765
TP190890,Athirah binti Zainal,CT104,3,2.75,017-8589566
TP105962,Zi Koh,DT103,1,2.34,011-2663128
TP119371,Zulkifli bin Musa,CT104,4,2.71,016-5726580
TP140474,Rizal binti Ismail,EE104,2,3.13,016-5498051
TP193998,Mala Selvam,BM101,3,2.29,014-3430441
TP123038,Syafiq bin Razali,BM104,3,3.94,019-1196414
TP138161,Zulkifli binti Musa,CT105,3,3.21,011-6410865
TP186168,Ravi Nair,BM105,1,3.28,018-7757434
TP196598,Jing Yong,CT103,3,2.53,013-8553789
TP168209,Ravi Govindasamy,CT102,1,2.49,013-2370952
TP162468,Peng Yap,BM101,2,2.73,014-6042660
TP161368,Wei Yong,CT102,1,1.66,019-5643204
TP104264,Xin Tan,BM105,3,1.28,012-7800520
TP138648,Priya Chandran,CT101,1,3.97,012-8753169
TP131881,Muhammad binti Abdullah,CT104,3,2.24,012-3953309
TP135635,Jing Yap,CT105,1,3.41,017-4460212
TP135967,Ganesh Raju,BM105,1,1.65,016-5263428
TP116284,Athirah bin Ahmad,EE103,1,3.0,018-7031580
TP100439,Athirah bin Musa,PM101,2,1.14,016-6441564
TP197117,Haziq binti Kamaruddin,CT104,4,3.19,016-1642265
TP132943,Farah bin Othman,EE105,2,3.11,018-4519215
TP171426,Nadia binti Zainal,EE102,4,3.48,012-1289334
TP130244,Ahmad binti Zainal,CT107,1,3.48,017-1358025
TP136108,Raj Devaraj,CT102,1,3.62,018-5026352
TP169762,Ismail bin Musa,CT106,2,2.17,014-1750663
TP146302,Nurul binti Ahmad,EE103,1,3.48,018-1895377
TP155865,Muhammad bin Hassan,CT102,2,2.43,019-9291327
